N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,삼성전자,"186,800","하락12,600",-6.32%,100,"11,057,884","5,919,638",49.50,"27,566,518",28.46,10.85,
2,SK하이닉스,"930,000","하락77,000",-7.65%,"5,000","6,628,132","712,702",53.45,"3,377,089",15.77,44.15,
3,삼성전자우,"131,200","하락8,000",-5.75%,100,"1,070,559","815,975",76.49,"4,503,089",19.99,N/A,
4,현대차,"486,000","하락31,000",-6.00%,"5,000","995,123","204,758",28.62,"1,505,641",13.76,8.41,
5,LG에너지솔루션,"356,500","하락19,000",-5.06%,500,"834,210","234,000",4.84,"265,604",-77.75,-5.19,
6,SK스퀘어,"555,000","하락53,000",-8.72%,100,"733,083","132,087",49.93,"713,013",8.35,37.82,
7,삼성바이오로직스,"1,525,000","하락76,000",-4.75%,"2,500","705,937","46,291",12.72,"28,889",57.39,19.44,
8,한화에어로스페이스,"1,271,000","하락49,000",-3.71%,"5,000","655,371","51,563",44.69,"213,843",44.48,19.14,
9,두산에너빌리티,"101,200","하락8,400",-7.66%,"5,000","648,248","640,561",24.51,"5,536,961",-636.48,1.52,
10,기아,"161,600","하락6,900",-4.09%,"5,000","630,907","390,413",38.95,"1,188,255",8.46,12.92,
11,KB금융,"144,900","하락10,300",-6.64%,"5,000","540,260","372,850",76.48,"968,885",9.71,8.86,
12,HD현대중공업,"506,000","하락53,000",-9.48%,"5,000","531,104","104,961",15.36,"242,410",34.75,11.39,
13,삼성물산,"271,750","하락25,750",-8.66%,100,"461,911","169,977",29.71,"349,744",19.18,6.02,
14,셀트리온,"188,100","하락13,900",-6.88%,"1,000","434,602","231,048",23.26,"676,267",42.30,5.94,
15,삼성생명,"216,500","하락15,000",-6.48%,500,"433,000","200,000",23.02,"417,147",18.80,4.96,
16,신한지주,"89,500","하락8,400",-8.58%,"5,000","424,816","474,654",61.87,"1,854,916",9.16,8.11,
17,한화오션,"119,800","하락9,300",-7.20%,"5,000","367,083","306,413",11.16,"881,815",29.46,22.59,
18,현대모비스,"378,000","하락22,500",-5.62%,"5,000","342,969","90,733",42.75,"265,251",9.53,7.68,
19,미래에셋증권,"61,700","하락6,000",-8.86%,"5,000","342,630","555,316",9.91,"2,740,179",35.62,7.94,
20,NAVER,"208,500","하락13,000",-5.87%,100,"327,038","156,853",38.48,"628,326",16.85,7.37,
21,HD현대일렉트릭,"905,000","하락54,000",-5.63%,"5,000","326,227","36,047",36.95,"86,856",44.53,41.50,
22,삼성전기,"427,500","하락37,000",-7.97%,"5,000","319,316","74,694",38.48,"546,642",46.98,7.70,
23,고려아연,"1,480,000","하락107,000",-6.74%,"5,000","308,920","20,873",9.52,"36,603",38.43,8.48,
24,삼성SDI,"376,000","하락24,500",-6.12%,"5,000","303,002","80,586",24.24,"419,586",-45.17,-3.15,
25,하나금융지주,"105,300","하락7,900",-6.98%,"5,000","293,077","278,326",67.54,"723,355",7.46,9.17,
26,한국전력,"45,650","하락3,500",-7.12%,"5,000","293,057","641,964",22.42,"2,292,473",3.43,19.40,
27,한미반도체,"300,500","하락9,000",-2.91%,100,"286,413","95,312",7.38,"697,480",134.57,34.76,
28,POSCO홀딩스,"326,000","하락17,500",-5.09%,"5,000","263,841","80,933",29.30,"410,284",40.32,1.18,
29,HD한국조선해양,"367,500","하락37,000",-9.15%,"5,000","260,091","70,773",34.31,"248,749",12.84,11.16,
30,LS ELECTRIC,"825,000","하락61,000",-6.88%,"5,000","247,500","30,000",22.45,"127,708",86.35,13.44,
31,효성중공업,"2,579,000","하락156,000",-5.70%,"5,000","240,480","9,325",28.16,"32,100",46.26,24.41,
32,SK,"328,500","하락31,500",-8.75%,200,"238,171","72,503",28.39,"184,424",15.03,6.35,
33,한화시스템,"124,000","하락12,000",-8.82%,"5,000","234,260","188,919",8.15,"1,187,610",96.72,6.60,
34,우리금융지주,"31,600","하락2,300",-6.78%,"5,000","231,968","734,076",47.01,"1,942,631",7.28,9.39,
35,삼성중공업,"26,100","하락2,450",-8.58%,"1,000","229,680","880,000",33.98,"6,887,831",42.10,13.74,
36,삼성화재,"454,500","하락20,000",-4.21%,500,"209,121","46,011",55.38,"76,353",11.40,13.11,
37,카카오,"47,000","하락3,000",-6.00%,100,"208,100","442,766",29.59,"1,915,682",89.52,0.56,
38,LG화학,"290,500","하락19,500",-6.29%,"5,000","205,071","70,592",35.50,"207,818",-12.50,-5.50,
39,HD현대,"240,000","하락25,500",-9.60%,"1,000","189,583","78,993",26.43,"158,646",26.41,6.36,
40,HMM,"19,850","하락1,400",-6.59%,"5,000","187,233","943,238",7.44,"1,776,615",10.15,6.90,
41,현대로템,"168,500","하락11,600",-6.44%,"5,000","183,905","109,142",33.64,"807,053",23.88,30.05,
42,기업은행,"23,000","하락1,100",-4.56%,"5,000","183,408","797,426",13.25,"1,266,335",6.79,8.06,
43,LG전자,"109,600","하락8,300",-7.04%,"5,000","178,523","162,886",33.34,"864,213",20.60,4.28,
44,SK이노베이션,"105,600","하락8,300",-7.29%,"5,000","178,520","169,053",13.09,"420,203",-5.02,-14.42,
45,메리츠금융지주,"104,900","하락5,200",-4.72%,500,"177,282","169,001",14.91,"290,182",8.33,23.44,
46,두산,"1,069,000","하락117,000",-9.87%,"5,000","173,112","16,194",19.01,"64,695",382.20,-14.57,
47,KT&G,"150,900","하락6,600",-4.19%,"5,000","173,047","114,677",44.87,"225,813",16.82,11.77,
48,현대건설,"153,900","하락10,100",-6.16%,"5,000","171,377","111,356",24.14,"1,240,898",46.36,4.58,
49,KODEX 200,"80,805","하락5,855",-6.76%,0,"171,024","211,650",23.44,"27,213,785",N/A,N/A,
50,포스코퓨처엠,"186,500","하락12,700",-6.38%,500,"165,885","88,946",8.65,"298,849",483.16,0.92,
51,한국항공우주,"169,400","하락16,300",-8.78%,"5,000","165,123","97,475",28.54,"692,173",88.83,10.42,
52,현대글로비스,"215,000","하락15,500",-6.72%,500,"161,250","75,000",47.64,"158,656",11.60,13.24,
53,SK텔레콤,"74,100","하락4,700",-5.96%,100,"159,159","214,790",38.64,"513,009",38.98,3.33,
54,TIGER 미국S&P500,"24,322",하락298,-1.21%,0,"146,309","601,550",0.05,"14,403,435",N/A,N/A,
55,KT,"56,800","하락3,900",-6.43%,"5,000","143,148","252,022",49.00,"321,106",8.27,10.22,
56,LIG넥스원,"637,000","하락24,000",-3.63%,"5,000","140,140","22,000",24.14,"234,560",43.63,19.59,
57,포스코인터내셔널,"76,900",하락100,-0.13%,"5,000","135,285","175,923",6.97,"1,535,474",22.03,9.27,
58,LG,"86,400","하락9,100",-9.53%,"5,000","133,247","154,222",36.21,"391,278",18.67,2.16,
59,삼성에피스홀딩스,"513,000","하락39,000",-7.07%,"2,500","127,650","24,883",7.22,"60,668",-65.74,N/A,
60,하이브,"288,500","하락55,500",-16.13%,500,"124,251","43,068",21.43,"889,872",-50.85,-7.33,
61,DB손해보험,"175,500","하락11,200",-6.00%,500,"121,769","69,384",43.32,"139,835",7.79,18.98,
62,에이피알,"322,000","하락37,500",-10.43%,100,"120,551","37,438",35.04,"471,521",51.92,41.34,
63,S-Oil,"105,000","하락6,800",-6.08%,"2,500","118,212","112,583",75.70,"549,445",-68.09,-2.18,
64,삼성에스디에스,"152,300","하락10,300",-6.33%,500,"117,846","77,378",21.72,"143,296",15.52,7.89,
65,한국금융지주,"210,000","하락24,500",-10.45%,"5,000","117,025","55,726",34.93,"290,515",7.28,11.54,
66,NH투자증권,"32,700","하락2,900",-8.15%,"5,000","116,525","356,344",12.57,"1,054,697",13.34,8.73,
67,키움증권,"413,500","하락47,000",-10.21%,"5,000","112,109","27,112",28.87,"139,254",11.33,15.98,
68,카카오뱅크,"23,400","하락1,700",-6.77%,"5,000","111,628","477,044",15.96,"985,191",24.30,6.95,
69,현대오토에버,"397,500","하락33,000",-7.67%,500,"109,010","27,424",1.80,"80,929",60.66,10.40,
70,크래프톤,"229,000","하락6,500",-2.76%,100,"108,557","47,405",41.73,"102,795",14.83,10.60,
71,대한항공,"24,250","하락2,100",-7.97%,"5,000","89,294","368,221",19.08,"2,981,453",11.49,7.28,
72,현대차2우B,"247,500","하락17,000",-6.43%,"5,000","86,536","34,964",55.98,"197,169",7.01,N/A,
73,삼양식품,"1,143,000","하락8,000",-0.70%,"5,000","86,102","7,533",15.67,"63,296",23.28,39.37,
74,LS,"272,500","하락31,000",-10.21%,"5,000","85,020","31,200",20.17,"286,523",32.22,5.09,
75,이수페타시스,"115,600","하락11,200",-8.83%,"1,000","84,861","73,409",26.38,"912,708",58.68,24.92,
76,삼성증권,"94,100","하락8,200",-8.02%,"5,000","84,031","89,300",27.21,"446,374",8.94,12.89,
77,KODEX CD금리액티브(합성),"1,075,027",상승77,+0.01%,0,"81,740","7,604",0.05,"260,819",N/A,N/A,
78,한화,"108,800","하락11,900",-9.86%,"5,000","81,555","74,959",18.11,"348,092",27.62,7.19,
79,카카오페이,"59,600","하락4,700",-7.31%,500,"80,594","135,224",28.27,"426,643",177.91,2.41,
80,한화솔루션,"46,675","하락5,025",-9.72%,"5,000","80,231","171,893",14.77,"4,613,255",-12.52,-7.01,
81,TIGER 반도체TOP10,"32,260","하락1,945",-5.69%,0,"79,360","246,000",0.23,"20,506,312",N/A,N/A,
82,아모레퍼시픽,"135,400","하락5,400",-3.84%,500,"79,199","58,493",26.08,"197,218",N/A,11.69,
83,한진칼,"118,100","하락11,900",-9.15%,"2,500","78,846","66,762",20.38,"183,340",44.90,16.75,
84,KODEX 미국S&P500,"22,235",하락270,-1.20%,0,"78,623","353,600",0.04,"16,237,821",N/A,N/A,
85,TIGER 미국나스닥100,"159,180","하락2,665",-1.65%,0,"78,348","49,220",0.21,"1,155,662",N/A,N/A,
86,HD현대마린솔루션,"170,100","하락12,600",-6.90%,500,"76,258","44,831",30.29,"69,434",28.29,33.73,
87,KODEX 머니마켓액티브,"103,880",상승5,0.00%,0,"75,178","72,370",0.50,"684,532",N/A,N/A,
88,유한양행,"93,400","하락6,900",-6.88%,"1,000","74,391","79,648",19.17,"253,341",39.10,8.81,
89,TIGER 200,"80,835","하락5,775",-6.67%,0,"72,105","89,200",8.22,"8,762,790",N/A,N/A,
90,SK바이오팜,"91,400","하락7,200",-7.30%,500,"71,578","78,313",13.33,"194,968",26.81,39.28,
91,대우건설,"17,190","하락1,920",-10.05%,"5,000","71,446","415,623",11.52,"35,831,992",-7.83,-23.89,
92,삼성E&A,"35,300",보합0,0.00%,"5,000","69,188","196,000",49.86,"6,468,880",11.21,13.76,
93,KODEX 코스닥150,"18,930","하락1,160",-5.77%,0,"69,132","365,200",0.70,"30,198,947",N/A,N/A,
94,LG이노텍,"289,000","하락7,000",-2.36%,"5,000","68,398","23,667",32.37,"257,092",20.04,6.14,
95,삼성카드,"58,700","하락1,000",-1.68%,"5,000","68,009","115,859",5.56,"135,244",10.53,7.45,
96,한국타이어앤테크놀로지,"54,200","하락3,200",-5.57%,500,"67,140","123,875",38.34,"279,856",7.06,10.79,
97,LG유플러스,"15,110",하락710,-4.49%,"5,000","64,947","429,828",41.78,"881,806",12.51,6.01,
98,한미약품,"500,000","하락60,000",-10.71%,"2,500","64,055","12,811",14.37,"101,241",54.99,11.89,
99,HD건설기계,"129,600","하락3,400",-2.56%,"5,000","62,174","47,974",21.33,"320,481",23.09,6.18,
100,한전기술,"161,500","하락14,000",-7.98%,200,"61,725","38,220",14.72,"239,993",72.29,14.20,
